entity_id,state,last_changed
sensor.reason,"Stable at 18A, battery charging 555W, grid 266W",2026-03-31T12:33:01.072Z
sensor.reason,"Stable at 18A, battery charging 557W, grid 0W",2026-03-31T12:33:31.072Z
sensor.reason,"Stable at 18A, battery charging 558W, grid -132W",2026-03-31T12:34:01.072Z
sensor.reason,"Stable at 18A, battery charging 558W, grid -44W",2026-03-31T12:34:31.072Z
sensor.reason,"Stable at 18A, battery charging 562W, grid -48W",2026-03-31T12:35:01.071Z
sensor.reason,"Stable at 18A, battery charging 561W, grid -152W",2026-03-31T12:35:31.071Z
sensor.reason,"Stable at 18A, battery charging 559W, grid 232W",2026-03-31T12:36:01.072Z
sensor.reason,"Battery discharging 1358W, reducing to 16A",2026-03-31T12:36:31.074Z
sensor.reason,"Stable at 16A, battery charging 487W, grid -78W",2026-03-31T12:37:01.071Z
sensor.reason,"Battery discharging 1187W, reducing to 14A",2026-03-31T12:37:31.072Z
sensor.reason,"Battery discharging 1214W, reducing to 12A",2026-03-31T12:38:01.073Z
sensor.reason,"Battery discharging 1333W, reducing to 10A",2026-03-31T12:38:31.072Z
sensor.reason,"Stable at 10A, battery charging 421W, grid 62W",2026-03-31T12:39:01.071Z
sensor.reason,"Stable at 10A, battery charging 642W, grid 0W",2026-03-31T12:39:31.071Z
sensor.reason,"Stable at 10A, battery charging 353W, grid 24W",2026-03-31T12:40:01.072Z
sensor.reason,"Stable at 10A, battery charging 424W, grid 24W",2026-03-31T12:40:31.072Z
sensor.reason,"Stable at 10A, battery charging 433W, grid 74W",2026-03-31T12:41:01.072Z
sensor.reason,"Stable at 10A, battery charging 427W, grid 24W",2026-03-31T12:41:31.073Z
sensor.reason,"Stable at 10A, battery charging 463W, grid 28W",2026-03-31T12:42:01.071Z
sensor.reason,"Stable at 10A, battery charging 641W, grid 24W",2026-03-31T12:42:31.072Z
sensor.reason,"Battery discharging 797W, reducing to 8A",2026-03-31T12:43:01.072Z
sensor.reason,"Battery discharging 192W, reducing to 6A",2026-03-31T12:43:31.075Z
sensor.reason,"Stable at 6A, battery charging 687W, grid 0W",2026-03-31T12:44:01.072Z
sensor.reason,"Stable at 6A, battery charging 639W, grid 0W",2026-03-31T12:44:31.073Z
sensor.reason,"Stable at 6A, battery charging 674W, grid 26W",2026-03-31T12:45:01.072Z
sensor.reason,"Stable at 6A, battery charging 321W, grid 172W",2026-03-31T12:45:31.071Z
sensor.reason,"Importing -236W, reducing to 5A",2026-03-31T12:46:01.073Z
sensor.reason,"At minimum, low count 1/3",2026-03-31T12:46:31.072Z
sensor.reason,"Stable at 5A, battery charging 610W, grid 0W",2026-03-31T12:47:01.071Z
sensor.reason,"Stable at 5A, battery charging 764W, grid 42W",2026-03-31T12:47:31.071Z
sensor.reason,"Stable at 5A, battery charging 728W, grid 0W",2026-03-31T12:48:01.071Z
sensor.reason,"Stable at 5A, battery charging 613W, grid 0W",2026-03-31T12:48:31.073Z
sensor.reason,"Stable at 5A, battery charging 651W, grid 0W",2026-03-31T12:49:01.072Z
sensor.reason,"Stable at 5A, battery charging 763W, grid 38W",2026-03-31T12:49:31.071Z
sensor.reason,"Stable at 5A, battery charging 833W, grid 26W",2026-03-31T12:50:01.071Z
sensor.reason,"Stable at 5A, battery charging 735W, grid 0W",2026-03-31T12:50:31.071Z
sensor.reason,"Stable at 5A, battery charging 596W, grid 0W",2026-03-31T12:51:01.079Z
sensor.reason,"Stable at 5A, battery charging 19W, grid -732W",2026-03-31T12:51:31.072Z
sensor.reason,"Stable at 5A, battery charging 19W, grid -600W",2026-03-31T12:52:01.072Z
sensor.reason,"Stable at 5A, battery charging 19W, grid -726W",2026-03-31T12:52:31.073Z
sensor.reason,"Stable at 5A, battery charging 21W, grid -642W",2026-03-31T12:53:01.072Z
sensor.reason,"Stable at 5A, battery charging 19W, grid -594W",2026-03-31T12:53:31.071Z
sensor.reason,"Stable at 5A, battery charging 21W, grid -598W",2026-03-31T12:54:01.072Z
sensor.reason,"Stable at 5A, battery charging 19W, grid -724W",2026-03-31T12:54:31.071Z
sensor.reason,"Stable at 5A, battery charging 20W, grid -608W",2026-03-31T12:55:01.071Z
sensor.reason,"Stable at 5A, battery charging 38W, grid -780W",2026-03-31T12:55:31.073Z
sensor.reason,"Stable at 5A, battery charging 37W, grid -662W",2026-03-31T12:56:01.072Z
sensor.reason,"Stable at 5A, battery charging 40W, grid -638W",2026-03-31T12:56:31.071Z
sensor.reason,"Stable at 5A, battery charging 37W, grid -362W",2026-03-31T12:57:01.071Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T12:57:31.072Z
sensor.reason,"Stable at 5A, battery charging 58W, grid 26W",2026-03-31T12:58:01.071Z
sensor.reason,"At minimum, low count 1/3",2026-03-31T12:58:31.079Z
